Funding,Scale,Need,Access,Index,No.,FBO 1,FBO 2,FBO 3,FBO 4,FBO 5,FBO 6,FBO 7,FBO 8,FBO 9,FBO 10,FBO 11,FBO 12,FBO 13,Avg Rank,,,,,,
1,3,3,1,1331,25,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
1,3,3,3,1333,27,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
2,1,3,1,2131,34,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
2,3,1,3,2313,48,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
2,3,2,1,2321,49,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
2,3,3,1,2331,52,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
2,3,3,3,2333,54,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,1,1,1,3111,55,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,1,3,1,3131,61,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,1,3,3,3133,63,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,2,2,3,3223,69,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,2,3,1,3231,70,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,2,3,3,3233,72,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,3,1,1,3311,73,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,3,2,1,3321,76,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,3,2,3,3323,78,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,3,3,1,3331,79,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
3,3,3,3,3333,81,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000,,,,,,
